Stock #,Year,Make,Model,VIN,Acquired,Initial Cost,Expenses,Total Cost,Purchased From
02881BF,2017,GMC,SIERRA 1500,3GTU2NEC3HG114142,12/23/25,"21,300.00",113.6,"21,413.60",ACTION AUTO SOLUTIONS LLC
02937BF,2020,CHEVROLET,TAHOE,1GNSKBKC2LR309210,12/23/25,"21,000.00",926.82,"21,926.82",ACTION AUTO SOLUTIONS LLC
02914BF,2016,CHEVROLET,CORVETTE,1G1YK2D73G5118890,12/23/25,"30,500.00",163.6,"30,663.60",ACTION AUTO SOLUTIONS LLC
02923BF,2016,FORD,F-250 SD,1FT7W2B50GEE02234,12/23/25,"27,800.00","3,583.56","31,383.56",ACTION AUTO SOLUTIONS LLC
02924BF,2019,FORD,F-150,1FTEW1C59KFA20135,12/23/25,"23,300.00",113.6,"23,413.60",ACTION AUTO SOLUTIONS LLC
02926BF,2017,CHEVROLET,SILVERADO 2500H,1GCWK1EK7HF203958,12/23/25,"32,500.00",702.83,"33,202.83",ACTION AUTO SOLUTIONS LLC
02927BF,2019,RAM,1500 CLASSIC,1C6RR6T45K7506702,12/23/25,"20,800.00","1,258.62","21,058.62",ACTION AUTO SOLUTIONS LLC
02928BF,2015,CHEVROLET,SUBURBAN,1GNSKC7C7FR280449,12/23/25,"12,800.00","1,330.10","14,130.10",ACTION AUTO SOLUTIONS LLC
02929BF,2004,CHEVROLET,SILVERADO 2500,1GCHK23D041175472,12/23/25,"12,200.00","1,275.77","13,475.77",ACTION AUTO SOLUTIONS LLC
02930BF,2011,CHEVROLET,SILVERADO 1500,1GCRRC7E4B2393745,12/23/25,"9,600.00",492.28,"10,092.28",ACTION AUTO SOLUTIONS LLC
02931BF,2016,JEEP,WRANGLER,1C4BJWDG2GL268370,12/23/25,"13,000.00","1,177.97","14,177.97",ACTION AUTO SOLUTIONS LLC
02932BF,2021,TOYOTA,TACOMA,3TM4Z5CN1MM156792,12/23/25,"20,500.00",238.9,"20,738.90",ACTION AUTO SOLUTIONS LLC
02934BF,2021,SUBARU,WRX,JF1VA1L6XM9505926,12/23/25,"21,700.00","1,139.43","22,839.43",ACTION AUTO SOLUTIONS LLC
02941BF,2018,CHEVROLET,COLORADO,1GCPTBE14J1171074,01/05/26,"19,850.00",567.12,"20,417.12",ACTION AUTO SOLUTIONS LLC
02940BF,2017,GMC,YUKON DENALI,1GKFS2HK7HR209139,01/05/26,"29,800.00",257.44,"30,057.44",ACTION AUTO SOLUTIONS LLC
02942BF,2021,CHEVROLET,CAMARO,1G1FB1R78M0138570,01/05/26,"22,500.00",802.77,"23,302.77",ACTION AUTO SOLUTIONS LLC
02955BF,2018,CHEVROLET,SILVERADO 1500,1GCRWKED0JR347965,01/05/26,"17,300.00","2,510.15","19,810.15",ACTION AUTO SOLUTIONS LLC
02956BF,2021,FORD,BRONCO SPORT,3FTTW9J91MRA33947,01/07/26,"22,500.00",294.13,"22,794.13",ACTION AUTO SOLUTIONS LLC
02960BF,2014,TOYOTA,TUNDRA,5TFEY5F14EX339447,01/07/26,"17,300.00",802.77,"18,102.77",ACTION AUTO SOLUTIONS LLC
02964BF,2018,FORD,F-150,1FTFW1E59JKD87537,01/09/26,"18,800.00",629.59,"19,429.59",ACTION AUTO SOLUTIONS LLC
2967,2021,FORD,F-150,1FTFW1E77MFA76974,01/14/26,"22,800.00",100,"22,900.00",ACTION AUTO SOLUTIONS LLC
02968BF,2017,FORD,F-150,1FTEX1CF2HKD83738,01/20/26,"13,500.00",213.3,"13,713.30",AUTO PRO
02981BF,2017,CHEVROLET,SILVERADO 1500,1GCRWKED8HZ254252,01/20/26,"22,000.00",113.6,"22,113.60",ACTION AUTO SOLUTIONS LLC
02980BF,2015,INFINITI,QX80,JN8AZ2NF6F9808993,01/20/26,"16,500.00",489.86,"16,989.86",ACTION AUTO SOLUTIONS LLC
02982BF,2016,GMC,SIERRA 1500,3GTU2MEC5G2322869,01/22/26,"16,200.00",100,"16,300.00",ACTION AUTO SOLUTIONS LLC
02988BF,2011,CHEVROLET,SUBURBAN,1GNSK2KC7BR280590,01/26/26,"9,500.00",836.65,"10,336.65",ACTION AUTO SOLUTIONS LLC
02992BF,2013,FORD,F-150,1FTFX1EF6DKB33738,01/26/26,"19,000.00","1,432.11","20,432.11",ACTION AUTO SOLUTIONS LLC
02993BF,2018,CHEVROLET,TAHOE,1GNSKCKC3JR178472,01/26/26,"16,200.00",365.76,"16,565.76",ACTION AUTO SOLUTIONS LLC
03002BF,2019,JAGUAR,XJL PORTFOLIO,SAJWA2G79KBW20017,02/03/26,"9,600.00",385.46,"9,985.46",ACTION AUTO SOLUTIONS LLC
03003BF,2019,RAM,1500,1C6RREHT4KN770971,02/09/26,"14,600.00",814.41,"15,414.41",ACTION AUTO SOLUTIONS LLC
03014BF,2022,JEEP,GLADIATOR,1C6JJT6N9NL104313,02/09/26,"20,800.00",380.27,"21,180.27",ACTION AUTO SOLUTIONS LLC
03015BF,2000,TOYOTA,TACOMA,5TEVL52N8YZ708255,02/11/26,"15,300.00",509.84,"15,809.84",ACTION AUTO SOLUTIONS LLC
03017BF,2018,CHEVROLET,CAMARO,1G1FB1R7XJ0156632,02/12/26,"26,000.00",523.6,"26,523.60",ACTION AUTO SOLUTIONS LLC
02915BFA,2019,FORD,F-150,1FTEW1E53KFB96224,02/12/26,0,0,0,
03018BF,2023,TOYOTA,TACOMA,3TMCP5AN2PM650535,02/12/26,"21,500.00",213.6,"21,713.60",ACTION AUTO SOLUTIONS LLC
03024BF,2014,GMC,SIERRA 1500,3GTU2WEC1EG333280,02/13/26,"43,000.00",100,"43,100.00",ACTION AUTO SOLUTIONS LLC
3032,2021,GMC,SIERRA 1500,1GTPEEDM12M234288,02/16/26,"30,000.00","1,253.66","31,253.66",
03032-A,2021,GMC,2500,1GTPEEDM12M234288,02/16/26,"16,800.00","1,034.10","17,834.10",ACTION AUTO SOLUTIONS LLC
2939,2018,CHEVROLET,SILVERADO 1500,1GCRWKED1JZ34288,02/20/26,"27,500.00",200,"27,700.00",LEE OF GREENVILLE
3013,2019,HYUNDAI,SANTA FE,5NMS33AA1KH048032,02/21/26,"54,000.00",250,"54,250.00",ACTION AUTO SOLUTIONS LLC
